n,state_mean,value_mean,value_std,value_se,ci95_low,ci95_high,state_column,value_column,bin_label
101,6.0317580645007105,0.030940594059405937,0.1586240166490112,0.015783679582625467,4.582077460020539e-06,0.06187660604135185,bid_depth_before,beta_exec_immediate_hat,"(5.17, 6.435]"
101,7.19752739769947,0.03836633663366336,0.11421275959999193,0.011364594339850494,0.01609173172755639,0.06064094153977033,bid_depth_before,beta_exec_immediate_hat,"(6.435, 7.617]"
96,8.040024956628594,0.01909722222222222,0.10150848109834362,0.010360165968995534,-0.001208703077009026,0.03940314752145346,bid_depth_before,beta_exec_immediate_hat,"(7.617, 8.772]"
100,10.088002305417831,0.005,0.049999999999999996,0.004999999999999999,-0.004799999999999998,0.014799999999999997,bid_depth_before,beta_exec_immediate_hat,"(8.772, 12.068]"
101,5.789068331453356,0.01155115511551155,0.08500792689369314,0.00845860487218766,-0.005027710433976264,0.028130020664999367,ask_depth_before,beta_exec_immediate_hat,"(4.854, 6.625]"
98,7.550781167942968,0.017006802721088433,0.09265646782601179,0.009359716674366586,-0.0013382419606700752,0.03535184740284694,ask_depth_before,beta_exec_immediate_hat,"(6.625, 8.338]"
101,8.97549736269218,0.0165016501650165,0.12802983700652124,0.012739444927801179,-0.00846766189347381,0.04147096222350681,ask_depth_before,beta_exec_immediate_hat,"(8.338, 9.825]"
98,10.753233537746176,0.04931972789115646,0.1372631432279404,0.013865671340493855,0.022143012063788506,0.07649644371852442,ask_depth_before,beta_exec_immediate_hat,"(9.825, 12.559]"
398,1.0402010050251256,0.023450586264656615,0.11346377236322686,0.005687424998432894,0.012303233267728144,0.03459793926158509,spread_before,beta_exec_immediate_hat,"(0.999, 2.0]"
103,-0.23737151257991235,0.038834951456310676,0.14969355679209584,0.014749744425980142,0.009925452381389598,0.06774445053123175,imbalance_before,beta_exec_immediate_hat,"(-0.398, -0.155]"
98,-0.0980270590876353,0.033163265306122444,0.1507616192973045,0.015229223335398383,0.0033139875687416137,0.06301254304350327,imbalance_before,beta_exec_immediate_hat,"(-0.155, -0.0289]"
101,0.030356759099027394,0.007425742574257424,0.037451839260928176,0.0037265972906390128,0.0001216118846049585,0.014729873263909888,imbalance_before,beta_exec_immediate_hat,"(-0.0289, 0.119]"
96,0.2309587004853276,0.013888888888888888,0.06585766446520037,0.006721569732965189,0.0007146122122771176,0.02706316556550066,imbalance_before,beta_exec_immediate_hat,"(0.119, 0.384]"
151,10.947019867549669,0.03449227373068432,0.13733252337645235,0.011175962253767739,0.012587387713299553,0.056397159748069095,inventory_before,beta_exec_immediate_hat,"(8.999, 12.0]"
131,13.694656488549619,0.017175572519083967,0.09790408116166491,0.008553919287461813,0.000409890715658813,0.03394125432250912,inventory_before,beta_exec_immediate_hat,"(12.0, 14.0]"
86,15.0,0.011143410852713177,0.08980380271578783,0.009683793091057876,-0.007836823605760261,0.030123645311186616,inventory_before,beta_exec_immediate_hat,"(14.0, 15.0]"
30,16.0,0.030555555555555555,0.10376839571331163,0.01894543036276772,-0.006577487955469179,0.06768859906658029,inventory_before,beta_exec_immediate_hat,"(15.0, 16.0]"
