metric,value
n_runs,200.0
n_usable_pairs,200.0
n_support_pairs,195.0
usable_pair_rate,1.0
support_pair_rate,0.975
min_abs_treatment_diff,1.0
mean_beta_action_hat,0.0038461538461538464
median_beta_action_hat,0.0
beta_action_hat_stderr,0.016903901375051635
beta_action_hat_ci95_low,-0.02928549284894736
beta_action_hat_ci95_high,0.03697780054125505
beta_action_hat_boot_ci95_low,-0.026955128205128204
beta_action_hat_boot_ci95_high,0.03717948717948718
mean_beta_action_hat_all_runs,0.00375
nonzero_beta_action_hat_rate,0.3384615384615385
mean_beta_exec_hat,0.004615384615384614
median_beta_exec_hat,0.0
beta_exec_hat_stderr,0.017513310806571387
beta_exec_hat_ci95_low,-0.029710704565495304
beta_exec_hat_ci95_high,0.03894147379626453
beta_exec_hat_boot_ci95_low,-0.03008547008547009
beta_exec_hat_boot_ci95_high,0.03803846153846152
mean_beta_exec_hat_all_runs,0.004615384615384616
nonzero_beta_exec_hat_rate,0.3384615384615385
beta_exec_pool_hat,-0.0017751479289940828
beta_exec_pool_boot_ci95_low,-0.03259819981377384
beta_exec_pool_boot_ci95_high,0.031580612924716846
mean_beta_true_hat,0.0038461538461538464
median_beta_true_hat,0.0
beta_true_hat_stderr,0.016903901375051635
beta_true_hat_ci95_low,-0.02928549284894736
beta_true_hat_ci95_high,0.03697780054125505
beta_true_hat_boot_ci95_low,-0.029487179487179487
beta_true_hat_boot_ci95_high,0.03717948717948718
mean_local_treatment_difference,-1.9846153846153847
mean_local_outcome_difference,0.007692307692307693
mean_X_plus,-5.056410256410256
mean_X_minus,-3.071794871794872
mean_planned_market_sell_plus,2.98974358974359
mean_planned_market_sell_minus,0.9897435897435898
mean_DeltaP_plus,-0.24871794871794872
mean_DeltaP_minus,-0.2564102564102564
treatment_changed_rate,0.975
outcome_changed_rate,0.33
zero_outcome_given_treatment_change_rate,0.645
plus_clip_rate,0.0
minus_clip_rate,0.0
mean_t0,2.01
min_t0,0.0
max_t0,6.0
